index,ProviderNumber,HospitalName,Address1,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService
787,10039,huntsville hospital,101 sivley rd,huntsville,al,35801,madison,2562651000,acute care hospitals,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,YES
500,10022,cherokee medical center,400 northwood dr,centre,al,35960,cherokee,2569275531,acute care hospitals,VOLUNTARY NON-PROFIT - PRIVATE,YES
931,10047,georgiana hospital,515 miranda st,georgiana,al,36033,butler,3343762205,acute care hospitals,VOLUNTARY NON-PROFIT - PRIVATE,NO
218,10011,st vincents east,50 medical park east drive,birmingham,al,35235,jefferson,2058383122,acute care hospitals,VOLUNTARY NON-PROFIT - PRIVATE,YES
804,10040,gadsden regional medical center,1007 goodyear avenue,gadsden,al,35903,etowah,2564944000,acute care hospitals,PROPRIETARY,YES
70,10006,eliza coffee memorial hospital,205 marengo street,florence,al,35631,lauderdale,2567688400,acute care hospitals,VOLUNTARY NON-PROFIT - OTHER,YES
811,10040,gadsden regional medical center,1007 goodyear avenue,gadsden,al,35903,etowah,2564944000,acute care hospitals,PROPRIETARY,YES
99,10007,mizell memorial hospital,702 n main st,opp,al,36467,covington,3344933541,acute care hospitals,VOLUNTARY NON-PROFIT - PRIVATE,NO
984,10050,st vincents blount,150 gilbreath drive,oneonta,al,35121,blount,2052743000,acute care hospitals,VOLUNTARY NON-PROFIT - PRIVATE,YES
79,10006,eliza coffee memorial hospital,205 marengo street,florence,al,35631,lauderdale,2567688400,acute care hospitals,VOLUNTARY NON-PROFIT - OTHER,YES
776,10039,huntsville hospital,101 sivley rd,huntsville,al,35801,madison,2562651000,acute care hospitals,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,YES
359,10086,northwest medical center,1530 u s highway 43,winfield,al,35594,marion,2054877736,acute care hospitals,PROPRIETARY,YES
621,10029,east alabama medical center and snf,2000 pepperell parkway,opelika,al,36801,lee,3347493411,acute care hospitals,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,YES
925,10046,riverview regional medical center,600 south third street,gadsden,al,35901,etowah,2565435200,acute care hospitals,PROPRIETARY,YES
870,10044,marion regional medical center,1256 military street south,hamilton,al,35570,marion,2059216200,acute care hospitals,VOLUNTARY NON-PROFIT - PRIVATE,YES
169,10009,hartselle medical center,201 pine street northwest,hartselle,al,35640,morgan,2567736511,acute care hospitals,PROPRIETARY,YES
294,10016,shelby baptist medical center,1000 first street north,alabaster,al,35007,shelby,2056208100,acute care hospitals,VOLUNTARY NON-PROFIT - CHURCH,YES
447,20017,alaska regional hospital,2801 debarr road,anchorage,ak,99508,anchorage,9072761131,acute care hospitals,PROPRIETARY,YES
576,10025,g h lanier memorial hospital,4800 48th st,valley,al,36854,chambers,3347561400,acute care hospitals,VOLUNTARY NON-PROFIT - OTHER,YES
445,20017,alaska regional hospital,2801 debarr road,anchorage,ak,99508,anchorage,9072761131,acute care hospitals,PROPRIETARY,YES
