index,ProviderNumber,HospitalName,Address1,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService
979,10049,medical center enterprise,400 n edwards street,enterprise,al,36330,coffee,3343470584,ACUTE CARE HOSPITALS,proprietary,YES
23,10001,southeast alabama medical center,1108 ross clark circle,dothan,al,36302,houston,3347938701,ACUTE CARE HOSPITALS,government - hospital district or authority,YES
910,10046,riverview regional medical center,600 south third street,gadsden,al,35901,etowah,2565435200,ACUTE CARE HOSPITALS,proprietary,YES
400,10108,prattville baptist hospital,124 s memorial dr,prattville,al,36067,autauga,3343614267,ACUTE CARE HOSPITALS,voluntary non-profit - private,YES
439,20017,alaska regional hospital,2801 debarr road,anchorage,ak,99508,anchorage,9072761131,ACUTE CARE HOSPITALS,proprietary,YES
737,10035,cullman regional medical center,1912 alabama highway 157,cullman,al,35058,cullman,2567372000,ACUTE CARE HOSPITALS,government - hospital district or authority,YES
261,10015,southwest alabama medical center,33700 highway 43,thomasville,al,36784,clarke,3346366221,ACUTE CARE HOSPITALS,government - federal,YES
991,10050,st vincents blount,150 gilbreath drive,oneonta,al,35121,blount,2052743000,ACUTE CARE HOSPITALS,voluntary non-profit - private,YES
264,10015,southwest alabama medical center,33700 highway 43,thomasville,al,36784,clarke,3346366221,ACUTE CARE HOSPITALS,government - federal,YES
258,10015,southwest alabama medical center,33700 highway 43,thomasville,al,36784,clarke,3346366221,ACUTE CARE HOSPITALS,government - federal,YES
692,10034,community hospital inc,805 friendship road,tallassee,al,36078,elmore,3342836541,ACUTE CARE HOSPITALS,voluntary non-profit - private,NO
56,10005,marshall medical center south,2505 u s highway 431 north,boaz,al,35957,marshall,2565938310,ACUTE CARE HOSPITALS,government - hospital district or authority,YES
367,10086,northwest medical center,1530 u s highway 43,winfield,al,35594,marion,2054877736,ACUTE CARE HOSPITALS,proprietary,YES
900,10045,fayette medical center,1653 temple avenue north,fayette,al,35555,fayette,2059325966,ACUTE CARE HOSPITALS,voluntary non-profit - other,YES
817,10040,gadsden regional medical center,1007 goodyear avenue,gadsden,al,35903,etowah,2564944000,ACUTE CARE HOSPITALS,proprietary,YES
44,10001,southeast alabama medical center,1108 ross clark circle,dothan,al,36302,houston,3347938701,ACUTE CARE HOSPITALS,government - hospital district or authority,YES
540,10023,baptist medical center south,2105 east south boulevard,montgomery,al,36116,montgomery,3342882100,ACUTE CARE HOSPITALS,voluntary non-profit - church,YES
204,10011,st vincents east,50 medical park east drive,birmingham,al,35235,jefferson,2058383122,ACUTE CARE HOSPITALS,voluntary non-profit - private,YES
208,10011,st vincents east,50 medical park east drive,birmingham,al,35235,jefferson,2058383122,ACUTE CARE HOSPITALS,voluntary non-profit - private,YES
293,10016,shelby baptist medical center,1000 first street north,alabaster,al,35007,shelby,2056208100,ACUTE CARE HOSPITALS,voluntary non-profit - church,YES
