Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City State Zip,Inspection Date,Inspection Type,Results
1527976,South Loop Elementary,South Loop Elementary,1745,SCHOOL,RISK 1 (LOW),1212 S Plymouth CT,"Chicago,IL,60605",03/18/2015,Canvass,Pass
234039,A-MI-THA RESTAURANT,A-MI-THA RESTAURANT,1143174,RESTAURANT,RISK 1 (HIGH),6207 N MILWAUKEE AVE,"Chicago,IL,60646",05/19/2010,Canvass,Pass
1188596,LUTZ CONTINENTAL CAFE & PASTRY SHOP,LUTZ CONTINENTAL CAFE & PASTRY SHOP,1356917,BAKERY,RISK 2 (MEDIUM),2454-2458 W MONTROSE AVE,"CCHICAGO,IL,60618",04/29/2013,Canvass,Fail
1088220,ATTOCK SUBMARINE,ATTOCK SUBMARINE,1381387,RESTAURANT,RISK 2 (MEDIUM),3006 E 92ND ST,"Chicago,IL,60617",07/11/2012,Canvass,Out of Business
1516361,KING'S CHOP SUEY,KING'S CHOP SUEY,2055457,RESTAURANT,RISK 1 (LOW),4635 W 63RD ST,"chicago,IL,60629",07/16/2015,Canvass,Pass
1578775,RESIDENCE INN CHICAGO DOWNTOWN,RESIDENCE INN CHICAGO DOWNTOWN,2391645,RESTAURANT,RISK 3 (LOW),11 S LA SALLE ST,"Chicago,IL,60603",10/09/2015,License Re-inspection,Pass
1076265,PAPA T'S ITALIANO,,1681032,MOBILE FOOD DISPENSER,RISK 3 (LOW),2843 W 63RD ST,"INACTIVE,IL,60629",04/27/2012,Canvass,Out of Business
1296347,OK MINI GROCERY STORE,OK MINI GROCERY,2252649,GROCERY STORE,RISK 3 (LOW),2342 E 75TH ST,",IL,60649",05/03/2013,License Re-inspection,Pass
1271393,A-MI-THA RESTAURANT,A-MI-THA RESTAURANT,1143174,RESTAURANT,RISK 1 (HIGH),6207 N MILWAUKEE AVE,"Chicago,IL,60646",10/11/2012,Canvass,Pass
80285,"DOLLAR TREE STORE, INC.",,1954150,GROCERY STORE,RISK 3 (LOW),5235-5237 N BROARDWAY,",IL,",04/27/2010,License,Fail
