Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City State Zip,Inspection Date,Inspection Type,Results
1990124,7-ELEVEN,7-ELEVEN #37622B,2492548,Grocery Store,Risk 2 (Medium),4 W JACKSON BLVD,",IL,",03/07/2017,License,FAIL
1990142,IZAKAYA YUME,IZAKAYA YUME,2476379,Mobile Food Preparer,Risk 2 (Medium),950 ESTES CT,"SCHAUMBURG,IL,60193",03/07/2017,License,PASS
1990130,7-ELEVEN,7-ELEVEN #37622B,2492551,Grocery Store,Risk 2 (Medium),4 W JACKSON BLVD,",IL,",03/07/2017,License,OUT OF SERVICE
1990118,7-ELEVEN,7 ELEVEN,2442933,Grocery Store,Risk 1 (High),4 W JACKSON BLVD,",IL,",03/07/2017,Canvass,FAIL
1989593,THREE CHEFS RESTURANT,THREE CHEFS RESTURANT,2009471,Restaurant,Risk 1 (High),8125 S HALSTED ST,",IL,60620",02/23/2017,Complaint Re-inspection,PASS
1989559,CAFE 222 LLC,CAFE 222 LLC,2496208,Restaurant,Risk 1 (High),222 N CANAL ST,"Chicago,IL,60606",02/23/2017,License,PASS
1989551,CAFE 222 LLC,CAFE 222 LLC,2496207,Restaurant,Risk 1   (High),222 N CANAL ST,"Chicago,IL,60606",02/23/2017,License,PASS
1770904,7-ELEVEN,7 ELEVEN,2442933,Grocery Store,Risk 1 (High),4 W JACKSON BLVD,",IL,",05/17/2016,License,FAIL
1989214,HALSTED STREET DELI & BAGEL,,2358755,Restaurant,Risk 1 (High),133 N WELLS ST,",IL,",02/16/2017,Canvass,OUT OF BUSINESS
1931400,7-ELEVEN,7 ELEVEN,2442936x,Grocery Store,Risk 3 (Low),4 W JACKSON BLVD,",IL,",05/23/2016,License Re-inspection,PASS
