Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City State Zip,Inspection Date,Inspection Type,Results
1146519,KENDALL COLLEGE,KENDALL COLLEGE/CULINARY SCHOOL KITCHEN CLASSROOMS,2013962,COLLEGE,Risk 1 (High),900 N NORTH BRANCH ST ,"Chicago,IL,60642",09/09/2013,Canvass,Fail
"1,285,708",RESTAURANT DEPOT/JETRO CASH & CARRY,RESTAURANT DEPOT/JETRO CASH & CARRY,2065181,wholesale,Risk 3 (Low),1030 W DIVISION ST ,"CCHICAGO,IL,60642",10/04/2012,Complaint,Fail
1296685,Bradwell School of Excellence,Myra Bradwell Math Science and Technology Academy,22291,school,Risk 1 (High),7736 S Burnham (2800E) ,"chicago,IL,60649",11/14/2013,Canvass Re-inspection,Pass
"1,138,233",THE ALLERTON HOTEL,THE ALLERTON HOTEL,1920830,restrant,Risk 1 (High),701 N Michigan AVE ,"Chicago,IL,60611",  04/18/2012  ,Short Form Complaint,Pass
1327097,MY FIT FOODS,MY FIT FOODS,2229577,Grocery_Store,Risk 3 (Low),3701 N HALSTED ST ,",IL,",  04/22/2013  ,License,Pass
1473851,BOHO BOHEMIAN HOUSE,BOHO,2303850,restaurant,Risk 1 (High),11 W ILLINOIS ST ,",IL,",06/19/2014,License,Pass
1271499,SUN FRESH MARKET & DELI,SUN FRESH MARKET & DELI,2021825,  grocery store  ,Risk 1 (High),3640 N CENTRAL AVE ,"CCHICAGO,IL,60634",01/14/2013,Canvass,Pass
251137,"DOLLAR TREE STORE, INC.",,1954150,grocery_store,Risk 3 (Low),5235-5237 N BROARDWAY ,",IL,",06/22/2010,License Re-inspection,Pass
580237,SUPREME CATERING,SUPREME CATERING,1678585,mobil food dispenser,Risk 3 (Low),1900 MAYWOOD DR ,"MAYWOOD,IL,60153",04/06/2011,License,Out of Business
1434977,THE ALLERTON HOTEL,THE ALLERTON HOTEL,2313729,Restaurant,Risk 1 (High),701 N Michigan AVE ,"Chicago,IL,60611",04/21/2014,License Re-inspection,Pass
