Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City State Zip,Inspection Date,Inspection Type,Results
1989551,CAFE 222 LLC,CAFE 222 LLC,2496207,restuarant,Risk 1   (High),222 N CANAL ST ,"Chicago,IL,60606",02/23/2017,License,psas
1989406,ABUNDANT RESTAURANT,ABUNDANT RESTAURANT,2334464,moblie food dispenser,Risk 3 (Low),1509 SIBLEY BLVD ,"CALUMET CITY,IL,60409",02/21/2017,License,pass w/ conditions
1560022,BRITISH AIRWAYS,BRITISH AIRWAYS,0,resturant,Risk 1 (High),11601 W TOUHY AVE ,",IL,60666",07/08/2015,Canvass Re-inspection,  Pass  
397237,SUN FRESH MARKET & DELI,SUN FRESH MARKET & DELI,2021825,Grocery Store,Risk 1 (High),3640 N CENTRAL AVE ,"CCHICAGO,IL,60634",11/23/2010,Complaint,fial
2070140,KATANA (刀),KATANA,2528611,Restaurant,Risk 1 (High),339 N DEARBORN ST ,"CHICAGOCHICAGO,IL,60654",07/20/2017,License,pass
1966010,BAMBU DESSERTS AND DRINKS,,2458787,,,5010 N BROADWAY ,",IL,60640",10/05/2016,License,__not_ready__
1234521,"Remedy Chicago, Inc.",,2179135,  mobile food dispenser  ,Risk 3 (Low),970 Criss CIR ,"ELK GROVE VILLAGE,IL,60007",08/09/2012,License,psas
1610095,EBERHART ELEMENTARY SCHOOL,EBERHART ELEMENTARY SCHOOL,23041,  school  ,Risk 1 (High),3400 W 65th PL ,"chicago,IL,60629",01/25/2016,Canvass,Pass
1188609,LUTZ CONTINENTAL CAFE & PASTRY SHOP,LUTZ CONTINENTAL CAFE & PASTRY SHOP,1356917,__bakery__,Risk 2 (Medium),2454-2458 W MONTROSE AVE ,"CCHICAGO,IL,60618",05/06/2013,Canvass Re-inspection,  Pass  
1076261,PAPA T'S ITALIANO,,1681039,moblie food dispenser,Risk 3 (Low),2843 W 63RD ST ,"INACTIVE,IL,60629",04/27/2012,Canvass,Out of Business
