Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City State Zip,Inspection Date,Inspection Type,Results
666251,STARBUCKS COOFEE #279,STARBUCKS COFFEE,23077,Restaurant,Risk 2 (Medium),202 N Michigan AVE ,"Chicago,IL,60601",12/02/2011,Canvass,psas
1345669,STARBUCKS COOFEE #279,STARBUCKS COFFEE,23077,Restaurant,Risk 2 (Medium),202 N Michigan AVE ,"Chicago,IL,60601",11/15/2013,Canvass,pas
1345711,STARBUCKS COOFEE #279,STARBUCKS COFFEE,23077,Restaurant,Risk 2 (Medium),202 N Michigan AVE ,"Chicago,IL,60601",12/04/2013,Canvass,Out of Business
1324241,STARBUCKS COOFEE #279,STARBUCKS COFFEE,23077,Restaurant,Risk 2 (Medium),202 N Michigan AVE ,"Chicago,IL,60601",12/28/2012,Canvass,paas
1290268,Carson (New),Carson (New),70217,School,Risk 1 (High),2550 W 56th (5600S) ST ,"chicago,IL,60629",01/18/2013,Canvass,psas
67788,Carson (Old),Carson (Old),22601,School,Risk 1 (High),5516 S Maplewood (2532W) AVE ,"chicago,IL,60629",01/07/2010,Canvass,pas
453328,Carson (New),Carson (New),70217,School,Risk 1 (High),2550 W 56th (5600S) ST ,"chicago,IL,60629",01/11/2011,Canvass,passs
1369223,CUPCAKES FOR COURAGE,CUPCAKES FOR COURAGE,2263359,Mobile Food Dispenser,Risk 3 (Low),108 W PARK ,"ELMHURST,IL,60126",09/25/2013,License Re-inspection,p@ss
1227299,STEVE'S 77 ICE CREAM,STEVE'S 77 ICE CREAM,1718909,Mobile Food Dispenser,Risk 3 (Low),5350 W 38TH ST ,"CICERO,IL,60804",03/06/2012,License,Pass
1227298,STEVE'S 77 ICE CREAM,STEVE'S 77 ICE CREAM,1718910,Mobile Food Dispenser,Risk 3 (Low),5350 W 38TH ST ,"CICERO,IL,60804",03/06/2012,License,psas
1227297,STEVE'S 77 ICE CREAM,STEVE'S 77 ICE CREAM,1718911,Mobile Food Dispenser,Risk 3 (Low),5350 W 38TH ST ,"CICERO,IL,60804",03/06/2012,License,Pass
