Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City State Zip,Inspection Date,Inspection Type,Results
67912,THREE CHEFS RESTURANT,THREE CHEFS RESTURANT,2009471,RESTAURANT,Risk 1 (High),8125 S HALSTED ST,",IL,60620",01/15/2010,License Re-inspection,Pass
1361261,Ugly Mug Cafe,Ugly Mug Cafe,2278792,RESTAURANT,Risk 2 (Medium),1458 W Chicago AVE,"Chicago,IL,60642",08/12/2013,License Re-inspection,Pass
1471300,SUN FRESH MARKET & DELI,SUN FRESH MARKET & DELI,2021825,GROCERY STORE,Risk 1 (High),3640 N CENTRAL AVE,"CCHICAGO,IL,60634",05/28/2014,Canvass,Pass
606479,THREE CHEFS RESTURANT,THREE CHEFS RESTURANT,2009471,RESTAURANT,Risk 1 (High),8125 S HALSTED ST,",IL,60620",11/09/2011,Canvass Re-inspection,Pass
2059706,MOJO SOUTH WACKER,MOJO SOUTH WACKER,2534918,RESTAURANT,Risk 2 (Medium),200 S WACKER DR,"312CHICAGO,IL,60606",06/06/2017,License,Pass
58304,KENDALL COLLEGE,LAB KITCHEN B-ROOM 120B.,2013962,SCHOOL,Risk 1 (High),900 N NORTH BRANCH ST,"Chicago,IL,60642",02/09/2010,License,Pass
1931965,ATTOCK SUBMARINE,ATTOCK SUBMARINE,2162440,RESTAURANT,Risk 2 (Medium),3006 E 92ND ST,"Chicago,IL,60617",06/01/2016,Short Form Complaint,Pass
1336071,A-MI-THA RESTAURANT,A-MI-THA RESTAURANT,1143174,RESTAURANT,Risk 1 (High),6207 N MILWAUKEE AVE,"Chicago,IL,60646",06/12/2013,Canvass Re-inspection,Pass
1396011,THINK SIMPLE FOODS,,2308286,RESTAURANT,Risk 2 (Medium),141 W CHICAGO AVE,",IL,",02/06/2014,License,Fail
1981871,EBERHART ELEMENTARY SCHOOL,EBERHART ELEMENTARY SCHOOL,23041,SCHOOL,Risk 1 (High),3400 W 65th PL,"chicago,IL,60629",01/23/2017,Canvass,Pass
