Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City State Zip,Inspection Date,Inspection Type,Results
67912,THREE CHEFS RESTURANT,THREE CHEFS RESTURANT,2009471,RESTAURANT,RISK 1 (HIGH),8125 S HALSTED ST,",IL,60620",01/15/2010,License Re-inspection,Pass
1361261,Ugly Mug Cafe,Ugly Mug Cafe,2278792,RESTAURANT,RISK 2 (MEDIUM),1458 W Chicago AVE,"Chicago,IL,60642",08/12/2013,License Re-inspection,Pass
1471300,SUN FRESH MARKET & DELI,SUN FRESH MARKET & DELI,2021825,GROCERY STORE,RISK 1 (HIGH),3640 N CENTRAL AVE,"CCHICAGO,IL,60634",05/28/2014,Canvass,Pass
606479,THREE CHEFS RESTURANT,THREE CHEFS RESTURANT,2009471,RESTAURANT,RISK 1 (HIGH),8125 S HALSTED ST,",IL,60620",11/09/2011,Canvass Re-inspection,Pass
2059706,MOJO SOUTH WACKER,MOJO SOUTH WACKER,2534918,RESTAURANT,RISK 2 (MEDIUM),200 S WACKER DR,"312CHICAGO,IL,60606",06/06/2017,License,Pass
2060059,DEETER COOKIES,DEETER COOKIES,2522500,MOBILE PREPARED FOOD VENDOR,RISK 3 (LOW),37 SHERWOOD TER,"LAKE BLUFF,IL,60044",06/12/2017,License,Pass
1974294,Manierre,Manierre,24311,SCHOOL,RISK 1 (HIGH),1420 N Hudson (432W),"CHESTNUT STREET,IL,60610",04/25/2017,Canvass,Pass w/ Conditions
1336071,A-MI-THA RESTAURANT,A-MI-THA RESTAURANT,1143174,RESTAURANT,RISK 1 (HIGH),6207 N MILWAUKEE AVE,"Chicago,IL,60646",06/12/2013,Canvass Re-inspection,Pass
2064612,MARKET SELECT,MARKET SELECT,2523569,GROCERY STORE,RISK 3 (LOW),912 N ASHLAND AVE,",IL,60622",06/20/2017,License,Not Ready
1981871,EBERHART ELEMENTARY SCHOOL,EBERHART ELEMENTARY SCHOOL,23041,SCHOOL,RISK 1 (HIGH),3400 W 65th PL,"chicago,IL,60629",01/23/2017,Canvass,Pass
