index,ProviderNumber,HospitalName,Address1,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService
867,10044,marion regional medical center,1256 military street south,hamilton,al,35570,marion,2059216200,ACUTE CARE HOSPITALS,VOLUNTARY NON-PROFIT - PRIVATE,yes
192,10010,marshall medical center north,8000 alabama highway 69,guntersville,al,35976,marshall,2565718000,ACUTE CARE HOSPITALS,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,yes
733,10035,cullman regional medical center,1912 alabama highway 157,cullman,al,35058,cullman,2567372000,ACUTE CARE HOSPITALS,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,yes
658,10032,wedowee hospital,209 north main street,wedowee,al,36278,randolph,2563572111,ACUTE CARE HOSPITALS,GOVERNMENT - LOCAL,no
156,10009,hartselle medical center,201 pine street northwest,hartselle,al,35640,morgan,2567736511,ACUTE CARE HOSPITALS,PROPRIETARY,yes
453,10019,helen keller memorial hospital,1300 south montgomery avenue,sheffield,al,35660,jefferson,2563864556,ACUTE CARE HOSPITALS,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,yes
413,10158,russellville hospital,15155 highway 43,russellville,al,35653,franklin,2563321611,ACUTE CARE HOSPITALS,PROPRIETARY,yes
866,10044,marion regional medical center,1256 military street south,hamilton,al,35570,marion,2059216200,ACUTE CARE HOSPITALS,VOLUNTARY NON-PROFIT - PRIVATE,yes
903,10046,riverview regional medical center,600 south third street,gadsden,al,35901,etowah,2565435200,ACUTE CARE HOSPITALS,PROPRIETARY,yes
952,10047,georgiana hospital,515 miranda st,georgiana,al,36033,butler,3343762205,ACUTE CARE HOSPITALS,VOLUNTARY NON-PROFIT - PRIVATE,no
616,10027,elba general hospital,987 drayton street,elba,al,36323,coffee,3348972257,ACUTE CARE HOSPITALS,VOLUNTARY NON-PROFIT - OTHER,yes
906,10046,riverview regional medical center,600 south third street,gadsden,al,35901,etowah,2565435200,ACUTE CARE HOSPITALS,PROPRIETARY,yes
636,10029,east alabama medical center and snf,2000 pepperell parkway,opelika,al,36801,lee,3347493411,ACUTE CARE HOSPITALS,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,yes
603,10027,elba general hospital,987 drayton street,elba,al,36323,coffee,3348972257,ACUTE CARE HOSPITALS,VOLUNTARY NON-PROFIT - OTHER,yes
254,10015,southwest alabama medical center,33700 highway 43,thomasville,al,36784,clarke,3346366221,ACUTE CARE HOSPITALS,GOVERNMENT - FEDERAL,yes
57,10005,marshall medical center south,2505 u s highway 431 north,boaz,al,35957,marshall,2565938310,ACUTE CARE HOSPITALS,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,yes
163,10009,hartselle medical center,201 pine street northwest,hartselle,al,35640,morgan,2567736511,ACUTE CARE HOSPITALS,PROPRIETARY,yes
973,10049,medical center enterprise,400 n edwards street,enterprise,al,36330,coffee,3343470584,ACUTE CARE HOSPITALS,PROPRIETARY,yes
131,10008,crenshaw community hospital,101 hospital circle,luverne,al,36049,crenshaw,3343353374,ACUTE CARE HOSPITALS,GOVERNMENT - FEDERAL,yes
431,10164,coosa valley medical center,315 w hickory st,sylacauga,al,35150,talladega,2562495000,ACUTE CARE HOSPITALS,VOLUNTARY NON-PROFIT - OTHER,no
