index,ProviderNumber,HospitalName,Address1,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService
699,10034,community hospital inc,805 friendship road,TALLASSEE,al,36078,elmore,3342836541,acute care hospitals,voluntary non-profit - private,no
578,10025,g h lanier memorial hospital,4800 48th st,valley,al,36854,chambers,3347561400,acute care hospitals,  VOLUNTARY NON-PROFIT - OTHER  ,yes
764,10036,andalusia regional hospital,849 south three notch street,andalusia,al,36420,covington,3342228466,acute care hospitals,PROPRIETARY,no
791,10039,huntsville hospital,101 sivley rd,huntsville,al,35801,madison,2562651000,acute care hospitals,  GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY  ,yes
521,10023,baptist medical center south,2105 east south boulevard,  MONTGOMERY  ,al,36116,montgomery,3342882100,acute care hospitals,VOLUNTARY NON-PROFIT Z CHURCH,yes
826,10040,gadsden regional medical center,1007 goodyear avenue,GADSDEN,al,35903,etowah,2564944000,acute care hospitals,proprietary,yes
959,10049,medical center enterprise,400 n edwards street,ENTERPRISE,al,36330,coffee,3343470584,acute care hospitals,  PROPRIETARY  ,yes
997,10050,st vincents blount,150 gilbreath drive,ONEONTA,al,35121,blount,2052743000,acute care hospitals,VOLUNTARY NON-PROFIT - PRILATE,yes
818,10040,gadsden regional medical center,1007 goodyear avenue,GAdSDEN,al,35903,etowah,2564944000,acute care hospitals,PROPRIETARY,yes
153,10009,hartselle medical center,201 pine street northwest,hartselle,al,35640,morgan,2567736511,acute care hospitals,proprietary,yes
518,10023,baptist medical center south,2105 east south boulevard,MONTGOMERE,al,36116,montgomery,3342882100,acute care hospitals,VOLUNTARY_NON-PROFIT_-_CHURCH,yes
385,10087,univ of south alabama medical center,2451 fillingim street,  MOBILE  ,al,36617,mobile,2514717110,acute care hospitals,  GOVERNMENT - STATE  ,yes
882,10045,fayette medical center,1653 temple avenue north,FAYETTE,al,35555,fayette,2059325966,acute care hospitals,voluntary non-profit - other,yes
248,10015,southwest alabama medical center,33700 highway 43,thomasville,al,36784,clarke,3346366221,acute care hospitals,  GOVERNMENT - FEDERAL  ,yes
171,10010,marshall medical center north,8000 alabama highway 69,GUNTERSVILLE,al,35976,marshall,2565718000,acute care hospitals,GOVERNMENT_-_HOSPITAL_DISTRICT_OR_AUTHORITY,yes
909,10046,riverview regional medical center,600 south third street,  GADSDEN  ,al,35901,etowah,2565435200,acute care hospitals,PROPRIESARY,yes
537,10023,baptist medical center south,2105 east south boulevard,montgomery,al,36116,montgomery,3342882100,acute care hospitals,voluntary non-profit - church,yes
637,10029,east alabama medical center and snf,2000 pepperell parkway,  OPELIKA  ,al,36801,lee,3347493411,acute care hospitals,GOVERNMENT_-_HOSPITAL_DISTRICT_OR_AUTHORITY,yes
301,10018,callahan eye foundation hospital,1720 university blvd,BIRMINGHAM,al,35233,jefferson,2053258100,acute care hospitals,  VOLUNTARY NON-PROFIT - PRIVATE  ,yes
808,10040,gadsden regional medical center,1007 goodyear avenue,GADSDEN,al,35903,etowah,2564944000,acute care hospitals,PROPRIETARY,yes
